Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,sample,female,w,lnw
95221,398922007016629,April,NY,3870.6207,1346.15,60,43,1,,24,1,7,0,0,"Native, Born In US",2,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,22.435833333333335,3.110659383081029
95813,630863099932289,April,NY,3453.7018,1923.07,40,43,1,,30,2,1,0,0,"Native, Born In US",2,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,True,48.07675,3.872798692268385
97279,230909959975949,April,OH,2910.7835,653.84,40,40,1,,40,1,7,0,0,"Native, Born In US",3,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,16.346,2.793983219093938
98537,702902574991752,April,PA,3480.6705,1807.69,40,44,1,,35,1,1,0,0,"Native, Born In US",2,Natural gas distribution (Pt.s2212),840,"Private, For Profit",No,No,Employed-At Work,1.0,False,45.19225,3.8109256119602177
99464,240407932705443,April,RI,492.6685,1000.0,40,42,1,,47,2,7,1,4,"Native, Born In US",1,Pharmacies and drug stores (44611),840,"Private, For Profit",No,No,Employed-At Work,1.0,True,25.0,3.2188758248682006
100817,30614280983297,April,TX,3687.3591,1923.07,40,43,1,,27,2,7,0,0,"Native, Born In US",7,Real estate (531),840,"Private, For Profit",No,No,Employed-At Work,1.0,True,48.07675,3.872798692268385
106793,460461092603949,May,CA,4018.3527,1057.69,60,43,1,,24,1,7,0,0,"Native, Born In US",9,Real estate (531),840,"Private, For Profit",No,No,Employed-At Work,1.0,False,17.62816666666667,2.869498001590518
106934,698820528930930,May,CA,2606.314,2000.0,50,40,1,,47,2,7,0,0,"Native, Born In US",9,Hospitals (622),840,"Private, Nonprofit",No,No,Employed-At Work,1.0,True,40.0,3.6888794541139363
107239,957006765079340,May,CA,4560.8252,1150.0,40,43,8,,24,2,7,0,0,"Native, Born In US",9,"Banking and related activities (521, 52211,52219)",840,"Private, For Profit",No,No,Employed-At Work,1.0,True,28.75,3.3586377672433594
116014,307909322593544,May,MD,1975.7019,1538.0,40,44,2,,47,2,5,1,3,"Native, Born In US",5,Public finance activities (92113),840,Government - Federal,No,No,Employed-Absent,1.0,True,38.45,3.649358695951653
117686,130277369700814,May,MN,1653.2647,2115.38,45,44,1,,44,1,1,2,3,"Native, Born In US",4,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,47.00844444444445,3.8503272546022442
121051,57863360946091,May,NY,2600.4303,2884.61,65,43,2,,42,1,1,1,3,"Foreign Born, US Cit By Naturalization",2,"Non-depository credit and related activities (5222, 5223)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,44.37861538461539,3.7927577179329193
121553,981066987339790,May,NY,7411.6158,1153.84,65,43,4,,23,1,7,0,0,"Native, Born In US",2,"Non-depository credit and related activities (5222, 5223)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,17.751384615384612,2.8764635193796173
123827,960469970679406,May,OK,3312.9278,846.15,40,43,3,,24,2,7,0,0,"Foreign Born, US Cit By Naturalization",7,Air transportation (481),840,"Private, For Profit",No,No,Employed-At Work,1.0,True,21.15375,3.0518171947401584
132184,24090860965798,June,CA,3308.7824,2884.61,50,44,4,,47,1,1,0,0,"Foreign Born, Not a US Citizen",9,"Non-depository credit and related activities (5222, 5223)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,57.6922,4.0551219824004106
132410,108907570797966,June,CA,2969.3689,1538.46,45,43,1,7.0,28,2,7,0,0,"Foreign Born, Not a US Citizen",9,3365,840,"Private, For Profit",No,No,Employed-At Work,1.0,True,34.188,3.5318747053037716
134882,920188017008530,June,CO,1748.265,1420.0,40,40,1,,56,1,6,0,0,"Native, Born In US",8,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,35.5,3.56953269648137
135319,290696099504819,June,CT,989.1863,1153.0,40,44,2,,35,2,1,2,5,"Foreign Born, Not a US Citizen",1,"Aerospace products and parts manufacturing (336414, 336415, 336419)",840,"Private, For Profit",No,No,Employed-Absent,1.0,True,28.825,3.3612430661551227
135849,57711400782597,June,DE,349.1355,1538.46,40,44,1,,42,2,1,2,3,"Native, Born In US",5,"** Drugs, sundries, and chemical and allied products, merchant (wholesalerss*4242, 4246)",840,"Private, For Profit",No,No,Employed-At Work,1.0,True,38.4615,3.649657740960155
136022,660149040449103,June,DE,342.9751,315.0,35,43,1,,55,2,1,1,4,"Native, Born In US",5,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,True,9.0,2.1972245773362196
